category,subcategory,year,nwoundus,nkilledter,nwoundedter,nattacks
Region,East Asia,1998,0,0,0,9
Region,East Asia,1999,0,0,0,4
Region,East Asia,2000,0,1,20,19
Region,East Asia,2001,0,1,0,19
Region,East Asia,2002,0,1,0,4
Region,East Asia,2003,0,0,0,6
Region,East Asia,2004,0,1,0,4
Region,East Asia,2005,0,0,0,2
Region,East Asia,2006,0,0,0,1
Region,East Asia,2008,1,4,2,25
Region,East Asia,2009,0,1,0,8
Region,East Asia,2010,0,0,0,1
Region,East Asia,2011,0,6,0,4
Region,East Asia,2012,0,9,0,4
Region,East Asia,2013,0,22,5,15
Region,East Asia,2014,0,160,2,43
Region,East Asia,2015,1,38,2,28
Region,East Asia,2016,0,3,3,8
Region,East Asia,2017,0,4,0,7
Region,Eastern Europe,1970,0,0,0,12
Region,Eastern Europe,1971,0,0,0,5
Region,Eastern Europe,1972,0,0,0,1
Region,Eastern Europe,1973,0,0,0,1
Region,Eastern Europe,1974,0,0,0,2
Region,Eastern Europe,1977,0,0,0,2
Region,Eastern Europe,1978,0,0,0,2
Region,Eastern Europe,1979,0,0,0,1
Region,Eastern Europe,1980,0,0,0,1
Region,Eastern Europe,1981,0,0,0,4
Region,Eastern Europe,1982,0,0,0,3
Region,Eastern Europe,1983,0,0,1,2
Region,Eastern Europe,1984,0,0,0,4
Region,Eastern Europe,1985,0,0,0,5
Region,Eastern Europe,1986,0,0,0,3
Region,Eastern Europe,1987,0,0,0,1
Region,Eastern Europe,1988,0,0,0,4
Region,Eastern Europe,1989,0,0,0,16
Region,Eastern Europe,1990,0,1,0,58
Region,Eastern Europe,1991,1,1,0,84
Region,Eastern Europe,1992,0,0,0,91
Region,Eastern Europe,1994,1,2,2,95
Region,Eastern Europe,1995,0,2,0,68
Region,Eastern Europe,1996,0,0,0,175
Region,Eastern Europe,1997,4,1,0,248
Region,Eastern Europe,1998,0,22,12,105
Region,Eastern Europe,1999,0,16,4,138
Region,Eastern Europe,2000,1,19,3,234
Region,Eastern Europe,2001,0,35,4,252
Region,Eastern Europe,2002,0,53,8,112
Region,Eastern Europe,2003,0,23,5,100
Region,Eastern Europe,2004,0,34,1,46
Region,Eastern Europe,2005,0,6,1,76
Region,Eastern Europe,2006,0,1,0,70
Region,Eastern Europe,2007,60,2,0,62
Region,Eastern Europe,2008,0,7,1,209
Region,Eastern Europe,2009,0,10,2,165
Region,Eastern Europe,2010,0,25,2,261
Region,Eastern Europe,2011,0,17,15,198
Region,Eastern Europe,2012,0,40,2,173
Region,Eastern Europe,2013,0,35,6,165
Region,Eastern Europe,2014,1,443,105,962
Region,Eastern Europe,2015,0,380,296,684
Region,Eastern Europe,2016,0,68,0,134
Region,Eastern Europe,2017,0,25,4,110
Region,Middle East & North Africa,1970,0,0,0,28
Region,Middle East & North Africa,1971,0,0,0,55
Region,Middle East & North Africa,1972,0,2,0,53
Region,Middle East & North Africa,1973,0,2,0,19
Region,Middle East & North Africa,1974,3,13,0,42
Region,Middle East & North Africa,1975,0,0,1,44
Region,Middle East & North Africa,1976,0,0,0,55
Region,Middle East & North Africa,1977,0,0,0,211
Region,Middle East & North Africa,1978,11,9,0,128
Region,Middle East & North Africa,1979,0,9,3,455
Region,Middle East & North Africa,1980,0,9,3,437
Region,Middle East & North Africa,1981,4,3,6,312
Region,Middle East & North Africa,1982,1,2,6,290
Region,Middle East & North Africa,1983,75,4,1,334
Region,Middle East & North Africa,1984,20,20,1,268
Region,Middle East & North Africa,1985,0,2,0,133
Region,Middle East & North Africa,1986,1,0,8,196
Region,Middle East & North Africa,1987,2,0,0,202
Region,Middle East & North Africa,1988,0,3,0,246
Region,Middle East & North Africa,1989,7,0,0,465
Region,Middle East & North Africa,1990,0,6,3,494
Region,Middle East & North Africa,1991,6,6,2,612
Region,Middle East & North Africa,1992,4,1,6,1192
Region,Middle East & North Africa,1994,3,33,8,1051
Region,Middle East & North Africa,1995,44,24,0,590
Region,Middle East & North Africa,1996,112,5,1,373
Region,Middle East & North Africa,1997,0,15,3,548
Region,Middle East & North Africa,1998,0,27,4,247
Region,Middle East & North Africa,1999,0,40,5,316
Region,Middle East & North Africa,2000,38,20,2,272
Region,Middle East & North Africa,2001,2,66,4,362
Region,Middle East & North Africa,2002,7,113,10,326
Region,Middle East & North Africa,2003,86,123,6,310
Region,Middle East & North Africa,2004,227,161,33,492
Region,Middle East & North Africa,2005,47,228,5,882
Region,Middle East & North Africa,2006,10,184,42,1187
Region,Middle East & North Africa,2007,9,443,50,1385
Region,Middle East & North Africa,2008,25,236,12,1536
Region,Middle East & North Africa,2009,6,95,6,1361
Region,Middle East & North Africa,2010,5,152,18,1463
Region,Middle East & North Africa,2011,20,199,65,1663
Region,Middle East & North Africa,2012,3,528,35,2409
Region,Middle East & North Africa,2013,0,820,85,4560
Region,Middle East & North Africa,2014,6,3054,398,6939
Region,Middle East & North Africa,2015,12,4105,602,6036
Region,Middle East & North Africa,2016,10,5816,403,6115
Region,Middle East & North Africa,2017,4,3210,183,3780
Region,North America,1970,132,4,1,472
Region,North America,1971,48,1,0,247
Region,North America,1972,22,0,2,73
Region,North America,1973,28,3,1,64
Region,North America,1974,47,0,5,111
Region,North America,1975,18,0,3,159
Region,North America,1976,31,0,0,125
Region,North America,1977,4,0,1,149
Region,North America,1978,8,2,0,117
Region,North America,1979,32,1,2,79
Region,North America,1980,9,0,0,75
Region,North America,1981,3,0,0,77
Region,North America,1982,5,1,0,86
Region,North America,1983,4,2,1,47
Region,North America,1984,777,0,0,67
Region,North America,1985,6,0,0,44
Region,North America,1986,3,0,0,53
Region,North America,1987,1,0,0,35
Region,North America,1988,0,0,0,30
Region,North America,1989,12,1,0,44
Region,North America,1990,7,0,0,37
Region,North America,1991,4,0,0,40
Region,North America,1992,3,0,0,41
Region,North America,1994,11,2,0,101
Region,North America,1995,733,1,1,94
Region,North America,1996,84,0,0,111
Region,North America,1997,20,0,0,137
Region,North America,1998,2,0,0,37
Region,North America,1999,35,3,0,56
Region,North America,2000,7,0,0,41
Region,North America,2001,28,19,0,48
Region,North America,2002,8,2,0,33
Region,North America,2003,0,0,0,34
Region,North America,2004,0,0,0,12
Region,North America,2005,0,0,0,22
Region,North America,2006,0,0,0,15
Region,North America,2007,0,0,0,18
Region,North America,2008,11,2,4,31
Region,North America,2009,35,0,7,16
Region,North America,2010,15,3,0,24
Region,North America,2011,0,0,0,12
Region,North America,2012,7,8,1,39
Region,North America,2013,172,1,2,32
Region,North America,2014,5,8,0,37
Region,North America,2015,58,9,0,62
Region,North America,2016,131,8,2,75
Region,North America,2017,66,4,4,97
Region,South America,1970,0,2,0,65
Region,South America,1971,0,0,0,24
Region,South America,1972,0,0,0,33
Region,South America,1973,0,0,0,83
Region,South America,1974,11,1,2,81
Region,South America,1975,0,100,0,55
Region,South America,1976,0,0,0,91
Region,South America,1977,0,0,0,119
Region,South America,1978,9,1,0,222
Region,South America,1979,0,23,3,236
Region,South America,1980,0,3,3,319
Region,South America,1981,0,11,2,383
Region,South America,1982,0,53,6,639
Region,South America,1983,1,76,3,950
Region,South America,1984,0,39,13,1492
Region,South America,1985,0,59,1,1040
Region,South America,1986,9,18,5,1184
Region,South America,1987,0,9,0,1265
Region,South America,1988,1,2,0,1041
Region,South America,1989,3,14,0,1385
Region,South America,1990,6,1,0,1076
Region,South America,1991,0,3,0,1322
Region,South America,1992,0,1,0,1204
Region,South America,1994,0,21,0,373
Region,South America,1995,1,35,0,255
Region,South America,1996,0,23,1,517
Region,South America,1997,0,2,0,774
Region,South America,1998,1,7,0,108
Region,South America,1999,0,81,0,134
Region,South America,2000,0,73,0,150
Region,South America,2001,0,20,1,229
Region,South America,2002,0,22,0,162
Region,South America,2003,0,5,1,117
Region,South America,2004,0,2,0,42
Region,South America,2005,0,16,0,49
Region,South America,2006,0,0,5,50
Region,South America,2007,0,0,0,47
Region,South America,2008,0,11,1,144
Region,South America,2009,0,0,0,159
Region,South America,2010,0,0,1,148
Region,South America,2011,0,3,2,106
Region,South America,2012,0,8,8,133
Region,South America,2013,0,8,5,182
Region,South America,2014,0,18,0,283
Region,South America,2015,0,11,0,176
Region,South America,2016,0,5,4,159
Region,South America,2017,0,2,2,172
Region,South Asia,1970,0,0,0,1
Region,South Asia,1972,0,0,0,1
Region,South Asia,1973,0,0,0,1
Region,South Asia,1974,2,0,0,2
Region,South Asia,1975,0,0,0,4
Region,South Asia,1976,0,0,0,4
Region,South Asia,1977,0,0,0,2
Region,South Asia,1978,0,0,0,2
Region,South Asia,1979,0,0,0,34
Region,South Asia,1980,0,0,0,12
Region,South Asia,1981,0,0,2,23
Region,South Asia,1982,0,8,0,20
Region,South Asia,1983,0,2,2,63
Region,South Asia,1984,0,84,0,244
Region,South Asia,1985,0,58,2,161
Region,South Asia,1986,17,63,2,273
Region,South Asia,1987,0,3,0,348
Region,South Asia,1988,0,0,0,801
Region,South Asia,1989,0,1,0,926
Region,South Asia,1990,1,2,0,601
Region,South Asia,1991,2,8,0,677
Region,South Asia,1992,0,1,0,545
Region,South Asia,1994,0,21,0,376
Region,South Asia,1995,1,31,4,1051
Region,South Asia,1996,0,17,0,739
Region,South Asia,1997,14,187,50,490
Region,South Asia,1998,0,375,0,136
Region,South Asia,1999,0,51,4,225
Region,South Asia,2000,4,139,1,357
Region,South Asia,2001,7,159,12,385
Region,South Asia,2002,14,110,1,334
Region,South Asia,2003,2,40,7,353
Region,South Asia,2004,21,545,220,369
Region,South Asia,2005,24,131,19,604
Region,South Asia,2006,9,221,55,938
Region,South Asia,2007,16,506,62,982
Region,South Asia,2008,33,339,26,1759
Region,South Asia,2009,14,333,27,1945
Region,South Asia,2010,12,380,63,1981
Region,South Asia,2011,80,507,116,2138
Region,South Asia,2012,157,1744,323,3803
Region,South Asia,2013,38,1639,323,4612
Region,South Asia,2014,24,3062,1118,4998
Region,South Asia,2015,8,3608,1777,4585
Region,South Asia,2016,25,3815,2126,3639
Region,South Asia,2017,56,3152,1819,3430
Region,Southeast Asia,1970,0,0,0,10
Region,Southeast Asia,1971,0,0,0,6
Region,Southeast Asia,1972,1,0,0,16
Region,Southeast Asia,1973,8,0,0,2
Region,Southeast Asia,1974,0,0,0,3
Region,Southeast Asia,1975,0,0,0,7
Region,Southeast Asia,1976,0,3,3,12
Region,Southeast Asia,1977,1,1,0,8
Region,Southeast Asia,1978,0,1,0,44
Region,Southeast Asia,1979,0,0,0,86
Region,Southeast Asia,1980,2,16,0,87
Region,Southeast Asia,1981,0,12,4,50
Region,Southeast Asia,1982,0,1,0,43
Region,Southeast Asia,1983,0,1,0,22
Region,Southeast Asia,1984,0,24,0,46
Region,Southeast Asia,1985,0,48,1,128
Region,Southeast Asia,1986,0,33,0,102
Region,Southeast Asia,1987,0,2,0,163
Region,Southeast Asia,1988,1,0,0,242
Region,Southeast Asia,1989,0,0,0,203
Region,Southeast Asia,1990,0,0,0,348
Region,Southeast Asia,1991,5,5,1,206
Region,Southeast Asia,1992,3,0,0,279
Region,Southeast Asia,1994,1,10,0,151
Region,Southeast Asia,1995,1,43,0,168
Region,Southeast Asia,1996,0,0,0,193
Region,Southeast Asia,1997,0,0,0,159
Region,Southeast Asia,1998,0,1,0,32
Region,Southeast Asia,1999,0,3,3,107
Region,Southeast Asia,2000,0,61,5,256
Region,Southeast Asia,2001,9,64,29,185
Region,Southeast Asia,2002,6,32,1,110
Region,Southeast Asia,2003,5,51,13,145
Region,Southeast Asia,2004,0,10,1,95
Region,Southeast Asia,2005,7,12,3,204
Region,Southeast Asia,2006,0,11,1,272
Region,Southeast Asia,2007,1,9,5,365
Region,Southeast Asia,2008,1,35,8,514
Region,Southeast Asia,2009,7,31,3,561
Region,Southeast Asia,2010,1,10,6,473
Region,Southeast Asia,2011,0,11,2,356
Region,Southeast Asia,2012,0,52,15,587
Region,Southeast Asia,2013,1,68,28,1188
Region,Southeast Asia,2014,1,173,82,1082
Region,Southeast Asia,2015,0,99,95,1072
Region,Southeast Asia,2016,0,102,58,1077
Region,Southeast Asia,2017,0,198,63,1020
Region,Sub-Saharan Africa,1970,0,0,0,3
Region,Sub-Saharan Africa,1971,0,0,0,2
Region,Sub-Saharan Africa,1972,0,0,0,4
Region,Sub-Saharan Africa,1973,0,0,0,4
Region,Sub-Saharan Africa,1974,0,0,0,7
Region,Sub-Saharan Africa,1975,0,0,0,12
Region,Sub-Saharan Africa,1976,0,0,0,11
Region,Sub-Saharan Africa,1977,0,5,0,29
Region,Sub-Saharan Africa,1978,0,0,0,46
Region,Sub-Saharan Africa,1979,0,3,0,124
Region,Sub-Saharan Africa,1980,0,5,0,58
Region,Sub-Saharan Africa,1981,0,1,0,98
Region,Sub-Saharan Africa,1982,0,3,0,60
Region,Sub-Saharan Africa,1983,0,7,0,106
Region,Sub-Saharan Africa,1984,1,12,1,126
Region,Sub-Saharan Africa,1985,0,18,2,141
Region,Sub-Saharan Africa,1986,0,64,1,185
Region,Sub-Saharan Africa,1987,1,27,3,174
Region,Sub-Saharan Africa,1988,3,28,4,337
Region,Sub-Saharan Africa,1989,0,4,0,291
Region,Sub-Saharan Africa,1990,0,2,0,450
Region,Sub-Saharan Africa,1991,1,0,0,271
Region,Sub-Saharan Africa,1992,5,2,0,570
Region,Sub-Saharan Africa,1994,1,1,0,432
Region,Sub-Saharan Africa,1995,1,14,0,239
Region,Sub-Saharan Africa,1996,0,7,0,217
Region,Sub-Saharan Africa,1997,22,1,0,279
Region,Sub-Saharan Africa,1998,0,194,0,87
Region,Sub-Saharan Africa,1999,4,79,0,143
Region,Sub-Saharan Africa,2000,0,78,0,191
Region,Sub-Saharan Africa,2001,0,58,0,162
Region,Sub-Saharan Africa,2002,0,40,0,121
Region,Sub-Saharan Africa,2003,0,61,0,73
Region,Sub-Saharan Africa,2004,0,2,0,34
Region,Sub-Saharan Africa,2005,0,6,0,60
Region,Sub-Saharan Africa,2006,0,29,6,114
Region,Sub-Saharan Africa,2007,0,64,2,302
Region,Sub-Saharan Africa,2008,0,123,25,380
Region,Sub-Saharan Africa,2009,0,193,9,283
Region,Sub-Saharan Africa,2010,0,68,34,331
Region,Sub-Saharan Africa,2011,0,97,31,494
Region,Sub-Saharan Africa,2012,0,657,58,1168
Region,Sub-Saharan Africa,2013,8,952,102,999
Region,Sub-Saharan Africa,2014,1,3419,140,2321
Region,Sub-Saharan Africa,2015,0,3358,171,1964
Region,Sub-Saharan Africa,2016,0,1825,76,2077
Region,Sub-Saharan Africa,2017,2,1463,71,1970
Region,Western Europe,1970,0,9,0,50
Region,Western Europe,1971,0,3,0,125
Region,Western Europe,1972,0,16,0,376
Region,Western Europe,1973,51,16,0,290
Region,Western Europe,1974,0,8,0,317
Region,Western Europe,1975,0,6,0,438
Region,Western Europe,1976,0,13,0,578
Region,Western Europe,1977,0,14,2,771
Region,Western Europe,1978,0,5,1,729
Region,Western Europe,1979,0,4,0,1020
Region,Western Europe,1980,0,14,4,595
Region,Western Europe,1981,1,6,4,484
Region,Western Europe,1982,1,9,2,402
Region,Western Europe,1983,1,7,0,475
Region,Western Europe,1984,0,9,0,541
Region,Western Europe,1985,35,7,4,466
Region,Western Europe,1986,69,8,0,455
Region,Western Europe,1987,32,12,0,416
Region,Western Europe,1988,10,3,0,489
Region,Western Europe,1989,0,1,3,444
Region,Western Europe,1990,0,2,0,390
Region,Western Europe,1991,1,5,0,696
Region,Western Europe,1992,0,5,2,769
Region,Western Europe,1994,0,2,0,584
Region,Western Europe,1995,0,1,0,337
Region,Western Europe,1996,0,0,0,476
Region,Western Europe,1997,0,0,0,349
Region,Western Europe,1998,0,1,0,141
Region,Western Europe,1999,0,3,16,236
Region,Western Europe,2000,0,5,3,253
Region,Western Europe,2001,1,2,0,234
Region,Western Europe,2002,0,0,3,120
Region,Western Europe,2003,0,0,0,121
Region,Western Europe,2004,0,1,1,59
Region,Western Europe,2005,0,4,2,104
Region,Western Europe,2006,0,1,0,98
Region,Western Europe,2007,0,2,1,72
Region,Western Europe,2008,0,0,0,163
Region,Western Europe,2009,0,1,1,182
Region,Western Europe,2010,0,1,1,133
Region,Western Europe,2011,2,1,0,95
Region,Western Europe,2012,0,0,2,193
Region,Western Europe,2013,0,0,1,261
Region,Western Europe,2014,0,1,0,215
Region,Western Europe,2015,1,12,0,333
Region,Western Europe,2016,11,14,4,273
Region,Western Europe,2017,3,16,6,291
Country,Afghanistan,1973,0,0,0,1
Country,Afghanistan,1979,0,0,0,3
Country,Afghanistan,1987,0,0,0,1
Country,Afghanistan,1988,0,0,0,11
Country,Afghanistan,1989,0,0,0,10
Country,Afghanistan,1990,0,0,0,2
Country,Afghanistan,1991,0,0,0,30
Country,Afghanistan,1992,0,0,0,36
Country,Afghanistan,1994,0,0,0,9
Country,Afghanistan,1995,0,0,0,6
Country,Afghanistan,1996,0,0,0,4
Country,Afghanistan,1997,0,0,0,1
Country,Afghanistan,1998,0,0,0,1
Country,Afghanistan,1999,0,0,0,9
Country,Afghanistan,2000,0,0,0,14
Country,Afghanistan,2001,0,2,0,14
Country,Afghanistan,2002,4,8,1,38
Country,Afghanistan,2003,2,14,5,100
Country,Afghanistan,2004,21,9,15,88
Country,Afghanistan,2005,14,44,2,155
Country,Afghanistan,2006,4,135,51,282
Country,Afghanistan,2007,7,261,43,341
Country,Afghanistan,2008,7,105,7,414
Country,Afghanistan,2009,14,106,10,503
Country,Afghanistan,2010,12,241,19,542
Country,Afghanistan,2011,78,260,4,421
Country,Afghanistan,2012,155,981,183,1469
Country,Afghanistan,2013,38,1218,264,1443
Country,Afghanistan,2014,24,2479,950,1824
Country,Afghanistan,2015,7,3131,1682,1928
Country,Afghanistan,2016,25,3568,2097,1617
Country,Afghanistan,2017,56,2888,1786,1414
Country,Albania,1981,0,0,0,1
Country,Albania,1990,0,0,0,1
Country,Albania,1991,0,0,0,1
Country,Albania,1992,0,0,0,3
Country,Albania,1994,0,0,0,2
Country,Albania,1996,0,0,0,6
Country,Albania,1997,0,1,0,41
Country,Albania,1998,0,0,0,7
Country,Albania,1999,0,2,1,3
Country,Albania,2000,0,0,0,2
Country,Albania,2001,0,0,0,1
Country,Albania,2003,0,0,0,1
Country,Albania,2009,0,0,0,1
Country,Albania,2013,0,0,0,1
Country,Albania,2014,0,0,0,2
Country,Albania,2015,0,0,0,4
Country,Albania,2016,0,0,0,2
Country,Albania,2017,0,0,0,1
Country,Algeria,1972,0,0,0,1
Country,Algeria,1976,0,0,0,1
Country,Algeria,1978,0,0,0,1
Country,Algeria,1979,0,0,0,1
Country,Algeria,1990,0,0,0,2
Country,Algeria,1991,0,0,0,30
Country,Algeria,1992,0,0,1,215
Country,Algeria,1994,1,18,0,227
Country,Algeria,1995,0,1,0,185
Country,Algeria,1996,0,0,0,129
Country,Algeria,1997,0,12,3,344
Country,Algeria,1998,0,15,1,151
Country,Algeria,1999,0,4,1,106
Country,Algeria,2000,0,8,0,138
Country,Algeria,2001,0,8,0,113
Country,Algeria,2002,0,2,3,132
Country,Algeria,2003,0,9,0,75
Country,Algeria,2004,0,2,3,67
Country,Algeria,2005,0,5,0,104
Country,Algeria,2006,0,4,1,152
Country,Algeria,2007,0,28,6,124
Country,Algeria,2008,0,18,4,107
Country,Algeria,2009,0,4,1,108
Country,Algeria,2010,0,7,5,100
Country,Algeria,2011,0,2,0,15
Country,Algeria,2012,0,2,0,41
Country,Algeria,2013,0,32,3,22
Country,Algeria,2014,0,8,0,13
Country,Algeria,2015,0,2,0,16
Country,Algeria,2016,0,1,0,9
Country,Algeria,2017,0,3,0,14
Country,Andorra,1974,0,0,0,1
Country,Angola,1977,0,0,0,1
Country,Angola,1978,0,0,0,2
Country,Angola,1979,0,0,0,3
Country,Angola,1981,0,0,0,1
Country,Angola,1982,0,0,0,2
Country,Angola,1983,0,0,0,7
Country,Angola,1984,0,0,0,11
Country,Angola,1985,0,0,0,6
Country,Angola,1986,0,15,0,5
Country,Angola,1987,0,0,0,3
Country,Angola,1988,0,0,0,12
Country,Angola,1989,0,0,0,12
Country,Angola,1990,0,2,0,205
Country,Angola,1991,0,0,0,16
Country,Angola,1992,0,0,0,50
Country,Angola,1994,0,0,0,9
Country,Angola,1995,0,0,0,10
Country,Angola,1996,0,0,0,4
Country,Angola,1997,0,0,0,7
Country,Angola,1998,0,0,0,20
Country,Angola,1999,0,53,0,34
Country,Angola,2000,0,13,0,22
Country,Angola,2001,0,36,0,40
Country,Angola,2002,0,3,0,6
Country,Angola,2009,0,0,0,1
Country,Angola,2010,0,0,0,2
Country,Angola,2016,0,0,0,2
Country,Angola,2017,0,0,0,6
Country,Antigua and Barbuda,1992,0,0,0,1
Country,Argentina,1970,0,0,0,21
Country,Argentina,1971,0,0,0,7
Country,Argentina,1972,0,0,0,20
Country,Argentina,1973,0,0,0,60
Country,Argentina,1974,0,1,2,71
Country,Argentina,1975,0,100,0,38
Country,Argentina,1976,0,0,0,54
Country,Argentina,1977,0,0,0,17
Country,Argentina,1978,0,0,0,25
Country,Argentina,1979,0,0,0,16
Country,Argentina,1980,0,0,0,6
Country,Argentina,1981,0,0,0,2
Country,Argentina,1982,0,0,0,9
Country,Argentina,1983,0,0,0,18
Country,Argentina,1984,0,0,0,46
Country,Argentina,1985,0,0,0,43
Country,Argentina,1986,0,0,0,33
Country,Argentina,1987,0,0,0,80
Country,Argentina,1988,0,0,0,33
Country,Argentina,1989,0,0,0,32
Country,Argentina,1990,0,0,0,31
Country,Argentina,1991,0,0,0,27
Country,Argentina,1992,0,1,0,41
Country,Argentina,1994,0,0,0,14
Country,Argentina,1995,0,0,0,16
Country,Argentina,1996,0,0,0,19
Country,Argentina,1997,0,0,0,11
